round,score,avg_score_200,reward,avg_reward_200,coins,kills,suicides,crates_destroyed,alive_fraction
1,2,2.0,195.5,195.5,2,0,0,16,1
2,1,1.5,56.8,126.15,1,0,0,6,0
3,0,1.0,75.6,109.3,0,0,0,12,0
4,2,1.25,8.6,84.12,2,0,0,4,0
5,0,1.0,8.4,68.98,0,0,0,28,1
6,0,0.83,64.8,68.28,0,0,0,12,0
7,0,0.71,-30.3,54.2,0,0,0,5,0
8,0,0.62,61.7,55.14,0,0,0,7,0
9,1,0.67,106.6,60.86,1,0,0,12,0
10,1,0.7,83.3,63.1,1,0,0,16,0
11,1,0.73,21.2,59.29,1,0,0,9,0
12,5,1.08,-132.6,43.3,0,1,1,4,0
13,1,1.08,16.3,41.22,1,0,1,8,0
14,0,1.0,-145.8,27.86,0,0,0,5,0
15,1,1.0,61.9,30.13,1,0,0,18,1
16,0,0.94,-223.5,14.28,0,0,0,5,0
17,0,0.88,-52.4,10.36,0,0,0,6,0
18,2,0.94,98.5,15.26,2,0,0,7,0
19,3,1.05,192.8,24.6,3,0,0,13,0
20,0,1.0,-55.0,20.62,0,0,1,9,0
21,1,1.0,227.6,30.48,1,0,0,14,0
22,0,0.95,-238.6,18.25,0,0,0,9,1
23,1,0.96,46.0,19.45,1,0,0,12,0
24,0,0.92,-39.3,17.0,0,0,1,12,0
25,3,1.0,84.8,19.72,3,0,0,13,1
26,1,1.0,138.1,24.27,1,0,0,9,0
27,2,1.04,42.4,24.94,2,0,1,8,0
28,2,1.07,12.4,24.49,2,0,1,12,0
29,1,1.07,-0.3,23.64,1,0,1,8,0
30,1,1.07,-62.8,20.76,1,0,1,11,0
31,1,1.06,29.1,21.03,1,0,0,15,0
32,0,1.03,4.8,20.52,0,0,0,13,1
33,0,1.0,189.9,25.65,0,0,0,16,1
34,2,1.03,57.9,26.6,2,0,1,15,0
35,0,1.0,-135.2,21.98,0,0,0,11,0
36,3,1.06,199.6,26.91,3,0,0,24,0
37,1,1.05,-116.2,23.04,1,0,0,12,1
38,1,1.05,-123.5,19.19,1,0,1,5,0
39,6,1.18,59.2,20.21,1,1,0,13,1
40,0,1.15,-100.9,17.19,0,0,0,9,0
41,0,1.12,-106.9,14.16,0,0,1,10,0
42,0,1.1,72.6,15.55,0,0,0,12,0
43,0,1.07,-10.9,14.93,0,0,0,12,0
44,0,1.05,-9.6,14.38,0,0,0,6,0
45,1,1.04,108.9,16.48,1,0,0,7,0
46,1,1.04,-76.3,14.46,1,0,1,9,0
47,1,1.04,4.5,14.25,1,0,1,11,0
48,1,1.04,-22.1,13.49,1,0,1,13,0
49,1,1.04,-80.7,11.57,1,0,0,7,0
50,0,1.02,-80.0,9.74,0,0,1,7,0
51,2,1.04,90.5,11.32,2,0,0,8,0
52,0,1.02,-21.7,10.69,0,0,0,6,0
53,1,1.02,-35.6,9.81,1,0,0,4,0
54,1,1.02,73.1,10.99,1,0,0,7,0
55,0,1.0,-61.8,9.66,0,0,0,7,1
56,0,0.98,-20.9,9.12,0,0,0,5,0
57,1,0.98,-95.5,7.28,1,0,1,6,0
58,1,0.98,274.3,11.88,1,0,0,19,1
59,0,0.97,52.9,12.58,0,0,0,11,0
60,6,1.05,201.6,15.73,1,1,0,14,0
61,0,1.03,9.4,15.63,0,0,0,5,0
62,8,1.15,105.3,17.07,3,1,1,11,0
63,1,1.14,91.2,18.25,1,0,0,12,0
64,0,1.12,38.9,18.57,0,0,0,14,0
65,2,1.14,17.4,18.55,2,0,0,10,0
66,1,1.14,-44.6,17.6,1,0,1,6,0
67,2,1.15,18.4,17.61,2,0,0,7,0
68,1,1.15,-4.6,17.28,1,0,0,7,0
69,1,1.14,52.7,17.8,1,0,0,14,0
70,1,1.14,-40.8,16.96,1,0,1,5,0
71,1,1.14,-78.9,15.61,1,0,1,10,0
72,1,1.14,74.8,16.43,1,0,0,14,1
73,1,1.14,-35.3,15.72,1,0,0,10,0
74,2,1.15,-34.0,15.05,2,0,1,8,0
75,0,1.13,-70.9,13.9,0,0,1,9,0
76,0,1.12,-31.2,13.31,0,0,0,3,0
77,0,1.1,-111.6,11.69,0,0,1,9,0
78,1,1.1,66.6,12.39,1,0,0,12,1
79,0,1.09,66.1,13.07,0,0,0,6,0
80,5,1.14,250.1,16.04,5,0,0,16,1
81,0,1.12,-59.0,15.11,0,0,1,9,0
82,1,1.12,-209.6,12.37,1,0,1,4,0
83,0,1.11,25.6,12.53,0,0,1,13,0
84,1,1.11,14.2,12.55,1,0,0,9,0
85,0,1.09,15.8,12.59,0,0,0,12,0
86,0,1.08,37.8,12.88,0,0,0,15,0
87,0,1.07,2.5,12.76,0,0,0,14,0
88,0,1.06,-134.0,11.09,0,0,1,2,0
89,1,1.06,125.2,12.37,1,0,0,15,0
90,0,1.04,-13.1,12.09,0,0,0,14,0
91,0,1.03,-102.1,10.84,0,0,0,17,1
92,1,1.03,-12.1,10.59,1,0,0,14,1
93,0,1.02,-66.5,9.76,0,0,0,12,1
94,1,1.02,55.7,10.25,1,0,0,9,1
95,0,1.01,71.2,10.89,0,0,0,12,0
96,5,1.05,33.0,11.12,0,1,0,9,0
97,4,1.08,107.9,12.12,4,0,0,18,1
98,1,1.08,84.0,12.85,1,0,1,7,0
99,1,1.08,82.2,13.55,1,0,0,18,0
100,2,1.09,166.4,15.08,2,0,0,9,0
101,2,1.1,115.3,16.07,2,0,0,17,0
102,2,1.11,25.5,16.16,2,0,1,11,0
103,0,1.1,-154.6,14.51,0,0,1,6,0
104,5,1.13,74.8,15.09,0,1,0,8,0
105,0,1.12,39.5,15.32,0,0,0,11,0
106,1,1.12,-54.7,14.66,1,0,0,8,0
107,0,1.11,90.7,15.37,0,0,0,13,0
108,1,1.11,47.7,15.67,1,0,1,15,0
109,1,1.11,41.9,15.91,1,0,0,11,0
110,5,1.15,-75.5,15.08,0,1,1,6,0
111,0,1.14,-148.7,13.6,0,0,1,5,0
112,0,1.12,222.9,15.47,0,0,0,13,0
113,2,1.13,7.4,15.4,2,0,1,13,0
114,2,1.14,188.4,16.92,2,0,0,19,1
115,0,1.13,-25.9,16.54,0,0,0,21,1
116,4,1.16,85.2,17.14,4,0,1,11,0
117,2,1.16,-6.6,16.93,2,1,1,6,0
118,2,1.17,96.5,17.61,2,0,0,13,0
119,6,1.21,98.0,18.28,1,1,0,7,0
120,0,1.2,-29.2,17.89,0,0,0,4,0
121,0,1.19,41.3,18.08,0,0,0,11,0
122,0,1.18,15.1,18.06,0,0,0,16,1
123,0,1.17,54.1,18.35,0,0,0,14,0
124,1,1.17,-31.9,17.94,1,0,1,8,0
125,2,1.18,-1.1,17.79,2,0,0,15,1
126,0,1.17,32.2,17.91,0,0,0,13,0
127,1,1.17,60.0,18.24,1,0,0,17,0
128,0,1.16,-204.1,16.5,0,0,0,2,0
129,0,1.15,-132.5,15.35,0,0,1,10,0
130,0,1.14,101.9,16.01,0,0,0,15,0
131,0,1.13,-55.6,15.46,0,0,0,5,0
132,2,1.14,173.0,16.66,2,0,0,13,0
133,6,1.17,203.6,18.06,1,1,0,16,1
134,0,1.16,-95.6,17.22,0,0,1,11,0
135,2,1.17,4.3,17.12,2,0,0,9,0
136,0,1.16,-81.6,16.39,0,0,0,9,0
137,0,1.15,106.7,17.05,0,0,0,20,0
138,1,1.15,58.2,17.35,1,0,0,14,0
