variant,round,metric,value
task1_full,1.0,coins,16.0
task1_full,2.0,coins,10.0
task1_full,3.0,coins,8.0
task1_full,4.0,coins,8.25
task1_full,5.0,coins,9.0
task1_full,6.0,coins,8.6667
task1_full,7.0,coins,8.0
task1_full,8.0,coins,7.375
task1_full,9.0,coins,9.0
task1_full,10.0,coins,8.5
task1_full,11.0,coins,8.2727
task1_full,12.0,coins,8.0833
task1_full,13.0,coins,7.8462
task1_full,14.0,coins,7.8571
task1_full,15.0,coins,7.5333
task1_full,16.0,coins,7.625
task1_full,17.0,coins,7.3529
task1_full,18.0,coins,7.8333
task1_full,19.0,coins,7.6842
task1_full,20.0,coins,8.2
task1_full,21.0,coins,8.381
task1_full,22.0,coins,8.2727
task1_full,23.0,coins,8.2609
task1_full,24.0,coins,8.1667
task1_full,25.0,coins,8.28
task1_full,26.0,coins,8.3077
task1_full,27.0,coins,8.5556
task1_full,28.0,coins,8.3929
task1_full,29.0,coins,8.3448
task1_full,30.0,coins,8.3
task1_full,31.0,coins,8.8387
task1_full,32.0,coins,9.5625
task1_full,33.0,coins,9.3636
task1_full,34.0,coins,9.4706
task1_full,35.0,coins,10.2571
task1_full,36.0,coins,10.8333
task1_full,37.0,coins,10.7297
task1_full,38.0,coins,11.0
task1_full,39.0,coins,11.1795
task1_full,40.0,coins,11.65
task1_full,41.0,coins,11.7561
task1_full,42.0,coins,11.881
task1_full,43.0,coins,12.0
task1_full,44.0,coins,12.0909
task1_full,45.0,coins,12.0667
task1_full,46.0,coins,12.0217
task1_full,47.0,coins,12.0426
task1_full,48.0,coins,12.4167
task1_full,49.0,coins,12.9796
task1_full,50.0,coins,13.22
task1_full,51.0,coins,13.36
task1_full,52.0,coins,13.3
task1_full,53.0,coins,13.98
task1_full,54.0,coins,14.62
task1_full,55.0,coins,15.2
task1_full,56.0,coins,15.14
task1_full,57.0,coins,15.36
task1_full,58.0,coins,15.56
task1_full,59.0,coins,15.2
task1_full,60.0,coins,15.54
task1_full,61.0,coins,16.08
task1_full,62.0,coins,16.06
task1_full,63.0,coins,16.34
task1_full,64.0,coins,16.64
task1_full,65.0,coins,17.04
task1_full,66.0,coins,16.98
task1_full,67.0,coins,17.74
task1_full,68.0,coins,18.3
task1_full,69.0,coins,18.56
task1_full,70.0,coins,19.06
task1_full,71.0,coins,18.84
task1_full,72.0,coins,19.08
task1_full,73.0,coins,19.34
task1_full,74.0,coins,19.34
task1_full,75.0,coins,19.18
task1_full,76.0,coins,19.7
task1_full,77.0,coins,20.28
task1_full,78.0,coins,20.36
task1_full,79.0,coins,20.62
task1_full,80.0,coins,20.56
task1_full,81.0,coins,20.78
task1_full,82.0,coins,21.0
task1_full,83.0,coins,21.3
task1_full,84.0,coins,22.04
task1_full,85.0,coins,21.6
task1_full,86.0,coins,21.08
task1_full,87.0,coins,21.54
task1_full,88.0,coins,21.16
task1_full,89.0,coins,20.9
task1_full,90.0,coins,21.22
task1_full,91.0,coins,21.82
task1_full,92.0,coins,21.5
task1_full,93.0,coins,21.92
task1_full,94.0,coins,21.76
task1_full,95.0,coins,22.3
task1_full,96.0,coins,22.72
task1_full,97.0,coins,22.48
task1_full,98.0,coins,22.72
task1_full,99.0,coins,22.82
task1_full,100.0,coins,22.66
task1_full,101.0,coins,22.72
task1_full,102.0,coins,23.7
task1_full,103.0,coins,23.72
task1_full,104.0,coins,23.56
task1_full,105.0,coins,23.6
task1_full,106.0,coins,23.96
task1_full,107.0,coins,24.52
task1_full,108.0,coins,25.14
task1_full,109.0,coins,26.02
task1_full,110.0,coins,26.08
task1_full,111.0,coins,26.14
task1_full,112.0,coins,26.56
task1_full,113.0,coins,27.14
task1_full,114.0,coins,27.04
task1_full,115.0,coins,27.06
task1_full,116.0,coins,27.04
task1_full,117.0,coins,26.72
task1_full,118.0,coins,25.96
task1_full,119.0,coins,26.52
task1_full,120.0,coins,26.42
task1_full,121.0,coins,26.96
task1_full,122.0,coins,27.32
task1_full,123.0,coins,27.82
task1_full,124.0,coins,28.38
task1_full,125.0,coins,28.46
task1_full,126.0,coins,28.76
task1_full,127.0,coins,28.56
task1_full,128.0,coins,29.32
task1_full,129.0,coins,29.92
task1_full,130.0,coins,30.1
task1_full,131.0,coins,30.32
task1_full,132.0,coins,30.28
task1_full,133.0,coins,30.1
task1_full,134.0,coins,29.32
task1_full,135.0,coins,29.64
task1_full,136.0,coins,29.66
task1_full,137.0,coins,29.92
task1_full,138.0,coins,30.8
task1_full,139.0,coins,31.7
task1_full,140.0,coins,31.68
task1_full,141.0,coins,31.62
task1_full,142.0,coins,31.92
task1_full,143.0,coins,32.1
task1_full,144.0,coins,32.94
task1_full,145.0,coins,32.48
task1_full,146.0,coins,32.86
task1_full,147.0,coins,33.84
task1_full,148.0,coins,33.04
task1_full,149.0,coins,32.24
task1_full,150.0,coins,32.9
task1_full,151.0,coins,33.34
task1_full,152.0,coins,32.9
task1_full,153.0,coins,32.9
task1_full,154.0,coins,33.24
task1_full,155.0,coins,33.36
task1_full,156.0,coins,33.92
task1_full,157.0,coins,34.06
task1_full,158.0,coins,34.18
task1_full,159.0,coins,34.22
task1_full,160.0,coins,34.74
task1_full,161.0,coins,35.02
task1_full,162.0,coins,34.96
task1_full,163.0,coins,34.72
task1_full,164.0,coins,34.44
task1_full,165.0,coins,34.96
task1_full,166.0,coins,35.86
task1_full,167.0,coins,36.24
task1_full,168.0,coins,37.12
task1_full,169.0,coins,36.32
task1_full,170.0,coins,36.56
task1_full,171.0,coins,36.14
task1_full,172.0,coins,36.4
task1_full,173.0,coins,36.02
task1_full,174.0,coins,36.34
task1_full,175.0,coins,37.2
task1_full,176.0,coins,37.2
task1_full,177.0,coins,37.52
task1_full,178.0,coins,37.6
task1_full,179.0,coins,37.22
task1_full,180.0,coins,37.4
task1_full,181.0,coins,37.46
task1_full,182.0,coins,37.64
task1_full,183.0,coins,38.46
task1_full,184.0,coins,38.44
task1_full,185.0,coins,38.82
task1_full,186.0,coins,39.7
task1_full,187.0,coins,39.84
task1_full,188.0,coins,39.9
task1_full,189.0,coins,39.9
task1_full,190.0,coins,39.38
task1_full,191.0,coins,39.0
task1_full,192.0,coins,39.68
task1_full,193.0,coins,39.66
task1_full,194.0,coins,39.66
task1_full,195.0,coins,39.58
task1_full,196.0,coins,39.0
task1_full,197.0,coins,39.0
task1_full,198.0,coins,39.96
task1_full,199.0,coins,40.86
task1_full,200.0,coins,40.86
task1_full,201.0,coins,40.36
task1_full,202.0,coins,40.8
task1_full,203.0,coins,41.02
task1_full,204.0,coins,40.36
task1_full,205.0,coins,39.62
task1_full,206.0,coins,39.62
task1_full,207.0,coins,39.62
task1_full,208.0,coins,39.62
task1_full,209.0,coins,39.2
task1_full,210.0,coins,39.2
task1_full,211.0,coins,39.12
task1_full,212.0,coins,39.42
task1_full,213.0,coins,39.7
task1_full,214.0,coins,40.16
task1_full,215.0,coins,40.16
task1_full,216.0,coins,40.04
task1_full,217.0,coins,39.64
task1_full,218.0,coins,39.64
task1_full,219.0,coins,40.52
task1_full,220.0,coins,40.52
task1_full,221.0,coins,41.38
task1_full,222.0,coins,40.48
task1_full,223.0,coins,40.94
task1_full,224.0,coins,40.94
task1_full,225.0,coins,40.82
task1_full,226.0,coins,40.2
task1_full,227.0,coins,40.2
task1_full,228.0,coins,40.2
task1_full,229.0,coins,40.58
task1_full,230.0,coins,40.16
task1_full,231.0,coins,39.2
task1_full,232.0,coins,39.2
task1_full,233.0,coins,39.2
task1_full,234.0,coins,39.66
task1_full,235.0,coins,39.66
task1_full,236.0,coins,38.98
task1_full,237.0,coins,38.06
task1_full,238.0,coins,38.08
task1_full,239.0,coins,37.32
task1_full,240.0,coins,37.86
task1_full,241.0,coins,38.38
task1_full,242.0,coins,38.06
task1_full,243.0,coins,38.14
task1_full,244.0,coins,37.72
task1_full,245.0,coins,38.5
task1_full,246.0,coins,39.08
task1_full,247.0,coins,39.08
task1_full,248.0,coins,39.08
task1_full,249.0,coins,38.62
task1_full,250.0,coins,38.62
task1_full,251.0,coins,39.16
task1_full,252.0,coins,39.16
task1_full,253.0,coins,39.16
task1_full,254.0,coins,39.04
task1_full,255.0,coins,38.86
task1_full,256.0,coins,38.86
task1_full,257.0,coins,38.54
task1_full,258.0,coins,38.12
task1_full,259.0,coins,38.54
task1_full,260.0,coins,38.08
task1_full,261.0,coins,37.82
task1_full,262.0,coins,38.06
task1_full,263.0,coins,38.06
task1_full,264.0,coins,38.52
task1_full,265.0,coins,38.52
task1_full,266.0,coins,38.64
task1_full,267.0,coins,39.16
task1_full,268.0,coins,39.16
task1_full,269.0,coins,39.16
task1_full,270.0,coins,39.16
task1_full,271.0,coins,39.16
task1_full,272.0,coins,40.08
task1_full,273.0,coins,40.08
task1_full,274.0,coins,40.08
task1_full,275.0,coins,39.64
task1_full,276.0,coins,40.26
task1_full,277.0,coins,40.26
task1_full,278.0,coins,40.26
task1_full,279.0,coins,39.42
task1_full,280.0,coins,40.4
task1_full,281.0,coins,41.3
task1_full,282.0,coins,41.3
task1_full,283.0,coins,41.3
task1_full,284.0,coins,41.64
task1_full,285.0,coins,41.64
task1_full,286.0,coins,42.32
task1_full,287.0,coins,43.24
task1_full,288.0,coins,43.24
task1_full,289.0,coins,43.44
task1_full,290.0,coins,42.78
task1_full,291.0,coins,42.66
task1_full,292.0,coins,42.98
task1_full,293.0,coins,42.98
task1_full,294.0,coins,43.4
task1_full,295.0,coins,43.4
task1_full,296.0,coins,43.3
task1_full,297.0,coins,43.3
task1_full,298.0,coins,43.3
task1_full,299.0,coins,43.76
task1_full,300.0,coins,43.76
task1_full,301.0,coins,42.76
task1_full,302.0,coins,42.76
task1_full,303.0,coins,42.76
task1_full,304.0,coins,43.54
task1_full,305.0,coins,44.48
task1_full,306.0,coins,44.48
task1_full,307.0,coins,44.8
task1_full,308.0,coins,45.08
task1_full,309.0,coins,45.08
task1_full,310.0,coins,44.96
task1_full,311.0,coins,45.3
task1_full,312.0,coins,45.04
task1_full,313.0,coins,44.8
task1_full,314.0,coins,44.8
task1_full,315.0,coins,44.76
task1_full,316.0,coins,44.76
task1_full,317.0,coins,44.76
task1_full,318.0,coins,44.76
task1_full,319.0,coins,44.54
task1_full,320.0,coins,44.54
task1_full,321.0,coins,44.54
task1_full,322.0,coins,44.54
task1_full,323.0,coins,44.0
task1_full,324.0,coins,44.0
task1_full,325.0,coins,44.56
task1_full,326.0,coins,44.56
task1_full,327.0,coins,44.26
task1_full,328.0,coins,44.26
task1_full,329.0,coins,45.1
task1_full,330.0,coins,45.1
task1_full,331.0,coins,45.12
task1_full,332.0,coins,45.1
task1_full,333.0,coins,45.1
task1_full,334.0,coins,45.1
task1_full,335.0,coins,45.1
task1_full,336.0,coins,44.44
task1_full,337.0,coins,44.44
task1_full,338.0,coins,43.86
task1_full,339.0,coins,44.04
task1_full,340.0,coins,43.82
task1_full,341.0,coins,43.88
task1_full,342.0,coins,43.88
task1_full,343.0,coins,43.88
task1_full,344.0,coins,43.74
task1_full,345.0,coins,43.74
task1_full,346.0,coins,43.84
task1_full,347.0,coins,43.84
task1_full,348.0,coins,43.84
task1_full,349.0,coins,43.84
task1_full,350.0,coins,43.84
task1_full,351.0,coins,44.84
task1_full,352.0,coins,44.84
task1_full,353.0,coins,44.84
task1_full,354.0,coins,44.84
task1_full,355.0,coins,44.84
