variant,round,metric,value
task4,1.0,score,1.0
task4,2.0,score,0.5
task4,3.0,score,0.3333
task4,4.0,score,0.25
task4,5.0,score,0.2
task4,6.0,score,0.1667
task4,7.0,score,0.1429
task4,8.0,score,0.125
task4,9.0,score,0.2222
task4,10.0,score,0.2
task4,11.0,score,0.1818
task4,12.0,score,0.25
task4,13.0,score,0.4615
task4,14.0,score,0.4286
task4,15.0,score,0.4
task4,16.0,score,0.375
task4,17.0,score,0.3529
task4,18.0,score,0.3889
task4,19.0,score,0.4211
task4,20.0,score,0.45
task4,21.0,score,0.4762
task4,22.0,score,0.4545
task4,23.0,score,0.4783
task4,24.0,score,0.4583
task4,25.0,score,0.44
task4,26.0,score,0.4615
task4,27.0,score,0.4444
task4,28.0,score,0.4286
task4,29.0,score,0.4828
task4,30.0,score,0.4667
task4,31.0,score,0.4839
task4,32.0,score,0.4688
task4,33.0,score,0.4848
task4,34.0,score,0.4706
task4,35.0,score,0.4571
task4,36.0,score,0.4444
task4,37.0,score,0.4324
task4,38.0,score,0.4211
task4,39.0,score,0.4103
task4,40.0,score,0.425
task4,41.0,score,0.4146
task4,42.0,score,0.4048
task4,43.0,score,0.4186
task4,44.0,score,0.4318
task4,45.0,score,0.5333
task4,46.0,score,0.5217
task4,47.0,score,0.5319
task4,48.0,score,0.5625
task4,49.0,score,0.551
task4,50.0,score,0.54
task4,51.0,score,0.549
task4,52.0,score,0.5577
task4,53.0,score,0.566
task4,54.0,score,0.5556
task4,55.0,score,0.5818
task4,56.0,score,0.5893
task4,57.0,score,0.5965
task4,58.0,score,0.5862
task4,59.0,score,0.5763
task4,60.0,score,0.5833
task4,61.0,score,0.5738
task4,62.0,score,0.5645
task4,63.0,score,0.5556
task4,64.0,score,0.5469
task4,65.0,score,0.5385
task4,66.0,score,0.5303
task4,67.0,score,0.5224
task4,68.0,score,0.5147
task4,69.0,score,0.5072
task4,70.0,score,0.5
task4,71.0,score,0.507
task4,72.0,score,0.5
task4,73.0,score,0.4932
task4,74.0,score,0.4865
task4,75.0,score,0.48
task4,76.0,score,0.4737
task4,77.0,score,0.4675
task4,78.0,score,0.4615
task4,79.0,score,0.4557
task4,80.0,score,0.45
task4,81.0,score,0.4444
task4,82.0,score,0.4512
task4,83.0,score,0.4458
task4,84.0,score,0.4524
task4,85.0,score,0.4471
task4,86.0,score,0.4535
task4,87.0,score,0.4483
task4,88.0,score,0.4432
task4,89.0,score,0.4382
task4,90.0,score,0.4333
task4,91.0,score,0.4396
task4,92.0,score,0.4457
task4,93.0,score,0.4624
task4,94.0,score,0.4574
task4,95.0,score,0.4526
task4,96.0,score,0.4583
task4,97.0,score,0.4536
task4,98.0,score,0.449
task4,99.0,score,0.4444
task4,100.0,score,0.44
task4,101.0,score,0.43
task4,102.0,score,0.43
task4,103.0,score,0.43
task4,104.0,score,0.43
task4,105.0,score,0.43
task4,106.0,score,0.43
task4,107.0,score,0.43
task4,108.0,score,0.43
task4,109.0,score,0.42
task4,110.0,score,0.42
task4,111.0,score,0.42
task4,112.0,score,0.41
task4,113.0,score,0.38
task4,114.0,score,0.38
task4,115.0,score,0.39
task4,116.0,score,0.39
task4,117.0,score,0.42
task4,118.0,score,0.41
task4,119.0,score,0.4
task4,120.0,score,0.41
task4,121.0,score,0.4
task4,122.0,score,0.4
task4,123.0,score,0.4
task4,124.0,score,0.4
task4,125.0,score,0.4
task4,126.0,score,0.39
task4,127.0,score,0.39
task4,128.0,score,0.39
task4,129.0,score,0.37
task4,130.0,score,0.37
task4,131.0,score,0.36
task4,132.0,score,0.36
task4,133.0,score,0.35
task4,134.0,score,0.35
task4,135.0,score,0.35
task4,136.0,score,0.35
task4,137.0,score,0.35
task4,138.0,score,0.37
task4,139.0,score,0.37
task4,140.0,score,0.36
task4,141.0,score,0.38
task4,142.0,score,0.38
task4,143.0,score,0.37
task4,144.0,score,0.36
task4,145.0,score,0.32
task4,146.0,score,0.32
task4,147.0,score,0.32
task4,148.0,score,0.3
task4,149.0,score,0.3
task4,150.0,score,0.3
task4,151.0,score,0.29
task4,152.0,score,0.3
task4,153.0,score,0.29
task4,154.0,score,0.29
task4,155.0,score,0.27
task4,156.0,score,0.26
task4,157.0,score,0.25
task4,158.0,score,0.25
task4,159.0,score,0.25
task4,160.0,score,0.24
task4,161.0,score,0.24
task4,162.0,score,0.24
task4,163.0,score,0.24
task4,164.0,score,0.24
task4,165.0,score,0.26
task4,166.0,score,0.26
task4,167.0,score,0.26
task4,168.0,score,0.28
task4,169.0,score,0.28
task4,170.0,score,0.28
task4,171.0,score,0.27
task4,172.0,score,0.27
task4,173.0,score,0.27
task4,174.0,score,0.27
task4,175.0,score,0.27
task4,176.0,score,0.29
task4,177.0,score,0.31
task4,178.0,score,0.31
task4,179.0,score,0.31
task4,180.0,score,0.31
task4,181.0,score,0.31
task4,182.0,score,0.3
task4,183.0,score,0.31
task4,184.0,score,0.3
task4,185.0,score,0.31
task4,186.0,score,0.31
task4,187.0,score,0.31
task4,188.0,score,0.31
task4,189.0,score,0.31
task4,190.0,score,0.32
task4,191.0,score,0.32
task4,192.0,score,0.31
task4,193.0,score,0.29
task4,194.0,score,0.3
task4,195.0,score,0.3
task4,196.0,score,0.29
task4,197.0,score,0.29
task4,198.0,score,0.29
task4,199.0,score,0.29
task4,200.0,score,0.29
task4,201.0,score,0.29
task4,202.0,score,0.29
task4,203.0,score,0.29
task4,204.0,score,0.29
task4,205.0,score,0.29
task4,206.0,score,0.29
task4,207.0,score,0.29
task4,208.0,score,0.29
task4,209.0,score,0.3
task4,210.0,score,0.3
task4,211.0,score,0.3
task4,212.0,score,0.3
task4,213.0,score,0.3
task4,214.0,score,0.33
task4,215.0,score,0.33
task4,216.0,score,0.34
task4,217.0,score,0.31
task4,218.0,score,0.32
task4,219.0,score,0.32
task4,220.0,score,0.3
task4,221.0,score,0.31
task4,222.0,score,0.31
task4,223.0,score,0.3
task4,224.0,score,0.31
task4,225.0,score,0.31
task4,226.0,score,0.31
task4,227.0,score,0.32
task4,228.0,score,0.32
task4,229.0,score,0.33
task4,230.0,score,0.33
task4,231.0,score,0.33
task4,232.0,score,0.34
task4,233.0,score,0.35
task4,234.0,score,0.35
task4,235.0,score,0.35
task4,236.0,score,0.36
task4,237.0,score,0.37
task4,238.0,score,0.35
task4,239.0,score,0.35
task4,240.0,score,0.35
task4,241.0,score,0.33
task4,242.0,score,0.33
task4,243.0,score,0.34
task4,244.0,score,0.34
task4,245.0,score,0.33
task4,246.0,score,0.33
task4,247.0,score,0.33
task4,248.0,score,0.33
task4,249.0,score,0.33
task4,250.0,score,0.33
task4,251.0,score,0.34
task4,252.0,score,0.33
task4,253.0,score,0.34
task4,254.0,score,0.34
task4,255.0,score,0.34
task4,256.0,score,0.34
task4,257.0,score,0.34
task4,258.0,score,0.34
task4,259.0,score,0.34
task4,260.0,score,0.34
task4,261.0,score,0.34
task4,262.0,score,0.34
task4,263.0,score,0.34
task4,264.0,score,0.36
task4,265.0,score,0.34
task4,266.0,score,0.34
task4,267.0,score,0.34
task4,268.0,score,0.32
task4,269.0,score,0.33
task4,270.0,score,0.33
task4,271.0,score,0.33
task4,272.0,score,0.33
task4,273.0,score,0.33
task4,274.0,score,0.33
task4,275.0,score,0.34
task4,276.0,score,0.32
task4,277.0,score,0.31
task4,278.0,score,0.31
task4,279.0,score,0.31
task4,280.0,score,0.31
task4,281.0,score,0.31
task4,282.0,score,0.31
task4,283.0,score,0.3
task4,284.0,score,0.3
task4,285.0,score,0.29
task4,286.0,score,0.28
task4,287.0,score,0.28
task4,288.0,score,0.28
task4,289.0,score,0.28
task4,290.0,score,0.27
task4,291.0,score,0.26
task4,292.0,score,0.26
task4,293.0,score,0.28
task4,294.0,score,0.27
task4,295.0,score,0.27
task4,296.0,score,0.28
task4,297.0,score,0.28
task4,298.0,score,0.28
task4,299.0,score,0.28
task4,300.0,score,0.28
task4,301.0,score,0.29
task4,302.0,score,0.29
task4,303.0,score,0.29
task4,304.0,score,0.29
task4,305.0,score,0.29
task4,306.0,score,0.29
task4,307.0,score,0.29
task4,308.0,score,0.3
task4,309.0,score,0.29
task4,310.0,score,0.3
task4,311.0,score,0.3
task4,312.0,score,0.3
task4,313.0,score,0.36
task4,314.0,score,0.33
task4,315.0,score,0.32
task4,316.0,score,0.31
task4,317.0,score,0.31
task4,318.0,score,0.3
task4,319.0,score,0.3
task4,320.0,score,0.3
task4,321.0,score,0.29
task4,322.0,score,0.29
task4,323.0,score,0.3
task4,324.0,score,0.3
task4,325.0,score,0.3
task4,326.0,score,0.3
task4,327.0,score,0.29
task4,328.0,score,0.3
task4,329.0,score,0.29
task4,330.0,score,0.29
task4,331.0,score,0.29
task4,332.0,score,0.28
task4,333.0,score,0.27
task4,334.0,score,0.27
task4,335.0,score,0.28
task4,336.0,score,0.27
task4,337.0,score,0.26
task4,338.0,score,0.26
task4,339.0,score,0.27
task4,340.0,score,0.27
task4,341.0,score,0.28
task4,342.0,score,0.28
task4,343.0,score,0.27
task4,344.0,score,0.27
task4,345.0,score,0.27
task4,346.0,score,0.28
task4,347.0,score,0.27
task4,348.0,score,0.27
task4,349.0,score,0.27
task4,350.0,score,0.27
task4,351.0,score,0.26
task4,352.0,score,0.26
task4,353.0,score,0.25
task4,354.0,score,0.25
task4,355.0,score,0.26
task4,356.0,score,0.28
task4,357.0,score,0.28
task4,358.0,score,0.28
task4,359.0,score,0.28
task4,360.0,score,0.28
task4,361.0,score,0.29
task4,362.0,score,0.29
task4,363.0,score,0.29
task4,364.0,score,0.27
task4,365.0,score,0.27
task4,366.0,score,0.29
task4,367.0,score,0.29
task4,368.0,score,0.29
task4,369.0,score,0.28
task4,370.0,score,0.28
task4,371.0,score,0.28
task4,372.0,score,0.28
task4,373.0,score,0.28
task4,374.0,score,0.28
task4,375.0,score,0.27
task4,376.0,score,0.27
task4,377.0,score,0.27
task4,378.0,score,0.27
task4,379.0,score,0.27
task4,380.0,score,0.27
task4,381.0,score,0.27
task4,382.0,score,0.27
task4,383.0,score,0.28
task4,384.0,score,0.28
task4,385.0,score,0.28
task4,386.0,score,0.33
task4,387.0,score,0.33
task4,388.0,score,0.33
task4,389.0,score,0.33
task4,390.0,score,0.33
task4,391.0,score,0.33
task4,392.0,score,0.35
task4,393.0,score,0.33
task4,394.0,score,0.34
task4,395.0,score,0.34
task4,396.0,score,0.33
task4,397.0,score,0.33
task4,398.0,score,0.35
task4,399.0,score,0.35
task4,400.0,score,0.35
task4,401.0,score,0.34
